Fund ID,Fund,Department ID,Department,Short Title,Link to Website,Department Description,Control Officer,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
2,Public Safety ,,New Orleans Municipal Court,Municipal Court,,"The mission of the Municipal Court is the fair and impartial administration of justice as it pertains to alleged violators of the ordinances of the City of New Orleans and the criminal statutes of the State of Louisiana. 
",,1415551,1308343,2788003,2927487,1087979,1885435,1625800,2800000,2566323,1867343,2045894,1473377,285566,969330,1051412,1121520,1916463,1762726,2724884,2254143,0,0
1,Open and Effective Government,,Traffic Court,Traffic Court,,"The mission of Traffic Court is to adjudicate violators of City of New Orleans traffic ordinances and state traffic laws. 
",,1508900,1235235,874640,970035,970035,970035,940706,948074,354356,389640,437587,1422242,1000039,886405,913725,925238,976629,924435,587529,362976,0,0
2,Public Safety ,,Orleans Parish Criminal District Court,Criminal Court,,"The goal of the Court is to prosecute all crimes, misdemeanors and/or felonies, as well as other offenses committed within the Parish of Orleans, in which jurisdiction is not vested in some other court. 
",,2176733,1823802,2270628,6183602,5861872,2844662,3060196,2860196,2214832,1526597,1526597,1996102,1770186,1177199,1982149,2634662,2868577,3033901,2860195,2149668,0,0
2,Public Safety ,,Orleans Parish Sheriff's Office,Sheriff,,"The mission of the Sheriff’s Office is to manage the care, custody, and control of individuals incarcerated in Orleans Parish on municipal, traffic, state, and federal charges. The Sheriff provides for the safety, medical care, and feeding of the persons in their custody. 
",,32165842,30026466,17229039,28637495,27753156,22766556,20489901,22594000,22944000,22134338,24184338,35101469,29807567,36527942,24020922,25327988,26665058,23013071,22543846,21608813,0,0
2,Public Safety ,,Clerk of Criminal District Court,Clerk of Criminal Court,,"Clerk of Criminal District Court's mission is to support the criminal justice system, as the keeper of records and evidence. The Clerk maintains integrity and justice within the system as the custodian of elections and polling sites. 
",,3107910,2871665,1883412,3879994,5861872,5216147,3329595,3850403,3726329,3726330,3726330,2959287,2463463,2097860,3556181,3455910,4067699,3752310,4027575,4096351,0,0
1,Open and Effective Government,,Registrar of Voters,Registrar,,,,283429,279463,232748,306350,372100,372100,484891,480000,407890,383416,371945,262239,261588,249892,313957,361410,390732,337297,531229,392566,0,0
1,Open and Effective Government,,Judicial Retirement,Judicial Retirement,,,,161077,160579,160580,160580,163792,163792,163792,163729,162477,263238,287233,151924,145148,162197,154605,225783,213679,164228,232443,309048,0,0
99,,,Enterprise Funds,Enterprise Funds,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Public Safety ,,Criminal Justice Coordination,Criminal Justice Coordination,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Public Safety ,,New Orleans Office of Homeland Security and Emergency Preparedness,Homeland Secruity,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open and Effective Government,,Information Technology and Innovation,I.T.,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Public Safety ,,Department of Emergency Medical Services,EMS,,"The mission of New Orleans Emergency Medical Services is to provide the highest quality pre-hospital emergency care to individuals living in and visiting New Orleans. As public servants, our sense of purpose will be reflected solely in our time sensitive, medically sound and respectful, compassionate delivery of this pre-hospital care. ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Children and Families ,,New Orleans Recreation Development Commission,NORDC,,"The mission of the New Orleans Recreation Development Commission is to provide high quality recreational, physical health, cultural, community interaction and lifestyle enhancement programs to youth, young adults, adults, and senior citizens of the city of New Orleans. ",,7772822,8261175,985705,3480830,5164648,5348439,5275779,78988,0,0,0,7047498,5253790,923632,1769755,3199459,4533412,4728828,216105,22825413,0,0
1,Open and Effective Government,,Service and Innovation,Service and Innovation,,"The mission of Service and Innovation is to stabilize the technology and network infrastructure for the City of New Orleans, drive innovation and performance improvement to enhance the delivery of all City services and increase the availability of information to improve decision making for City employees as well as for the citizens of New Orleans. 
",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Open and Effective Government,,Office of Performance and Accontability,Performance and Accountability,,"The mission of the Office of Performance and Accountability is to utilize the analysis of performance data to make better policy decisions, to drive operational improvements, to foster transparency in how City government is performing, and to promote accountability for delivering results to citizens. 
",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sustainable Communities,,Code Enforcement and Hearings Bureau,Code Enforcement,,"The primary purpose of the department is to ensure that public health and safety of the City’s neighborhoods as it relates to structures, by enforcing statutes and ordinances available for its use. ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
